chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene	Feature_type	Feature_type2	Feature_type3	Feature_type4	Feature_type5	Feature_type6	Feature_type7	Feature_type8	Feature_type9	Feature_type10	Feature_type11
1	111828496	LOC111828496						biological-region	enhancer										
1	111828503	LOC111828503						biological-region	enhancer	silencer									
1	111828504	LOC111828504						biological-region	enhancer	silencer									
1	111828505	LOC111828505						biological-region	enhancer										
1	112577469	LOC112577469						biological-region	enhancer										
1	112577470	LOC112577470						biological-region	enhancer										
1	112577471	LOC112577471						biological-region	enhancer										
1	112577472	LOC112577472						biological-region	enhancer										
1	112577473	LOC112577473						biological-region	enhancer										
1	112577475	LOC112577475						biological-region	enhancer										
1	112577476	LOC112577476						biological-region	enhancer										
1	112577477	LOC112577477						biological-region	enhancer										
1	112577478	LOC112577478						biological-region	enhancer										
1	112577479	LOC112577479						biological-region	enhancer										
1	112577480	LOC112577480						biological-region	enhancer										
1	112577481	LOC112577481						biological-region	enhancer										
1	112577483	LOC112577483						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	112577484	LOC112577484						biological-region	enhancer										
1	112577485	LOC112577485						biological-region	enhancer										
1	112577486	LOC112577486						biological-region	enhancer										
1	112577487	LOC112577487						biological-region	enhancer										
1	112577488	LOC112577488						biological-region	enhancer										
1	112577489	LOC112577489						biological-region	enhancer										
1	112577490	LOC112577490						biological-region	enhancer										
1	112577491	LOC112577491						biological-region	enhancer										
1	112577492	LOC112577492						biological-region	enhancer										
1	112577493	LOC112577493						biological-region	enhancer	silencer									
1	112577494	LOC112577494						biological-region	enhancer										
1	112577495	LOC112577495						biological-region	enhancer										
1	112577503	LOC112577503						biological-region	enhancer										
1	112577504	LOC112577504						biological-region	enhancer										
1	112577505	LOC112577505						biological-region	enhancer										
1	112577506	LOC112577506						biological-region	enhancer										
1	112577507	LOC112577507						biological-region	enhancer										
1	112577508	LOC112577508						biological-region	enhancer										
1	112577509	LOC112577509						biological-region	enhancer										
1	112577510	LOC112577510						biological-region	enhancer										
1	112577511	LOC112577511						biological-region	enhancer	silencer									
1	112577512	LOC112577512						biological-region	enhancer	silencer									
1	112577513	LOC112577513						biological-region	enhancer										
1	112577514	LOC112577514						biological-region	enhancer										
1	112577515	LOC112577515						biological-region	enhancer										
1	112577517	LOC112577517						biological-region	enhancer										
1	112577519	LOC112577519						biological-region	enhancer	silencer									
1	112577520	LOC112577520						biological-region	enhancer										
1	112577521	LOC112577521						biological-region	enhancer										
1	112577522	LOC112577522						biological-region	enhancer										
1	112577523	LOC112577523						biological-region	enhancer										
1	112577524	LOC112577524						biological-region	enhancer										
1	112577525	LOC112577525						biological-region	enhancer										
1	112577526	LOC112577526						biological-region	enhancer										
1	112577527	LOC112577527						biological-region	enhancer										
1	112577528	LOC112577528						biological-region	enhancer										
1	112577529	LOC112577529						biological-region	enhancer										
1	112577530	LOC112577530						biological-region	enhancer										
